ID,Total Time,Longest Session,Rust Total Time,Rust Longest Session
691386047619399811,78538,22159,0,0
1425174309231657090,0,0,0,0
538529277923295255,0,0,0,0
944016826751389717,0,0,0,0
710143953533403226,0,0,0,0
242015960385454080,9959,7024,0,0
1040668238318669824,0,0,0,0
225419920567959553,0,0,0,0
385253302780166148,5187,1490,0,0
151464113426530314,0,0,0,0
257235015446822922,0,0,0,0
337739959836475393,0,0,0,0
303032155569651713,11922,7681,0,0
783708073390112830,0,0,0,0
496498042246135811,0,0,0,0
966695034340663367,0,0,0,0
410964086394847252,0,0,0,0
853865463070195712,0,0,0,0
602019433577316352,0,0,0,0
429305856241172480,0,0,0,0
333387399675772928,0,0,0,0
379123006238228480,0,0,0,0
355258789127127040,0,0,0,0
691715784816328735,0,0,0,0
680838983294779490,3949,2958,0,0
541477724519399437,0,0,0,0
429020308918239232,0,0,0,0
492889958445613072,0,0,0,0
789238904338382898,0,0,0,0
185497530895826944,0,0,0,0
499405770027302914,0,0,0,0
1178079449179234335,0,0,0,0
991018044438507530,0,0,0,0
1186016693215047821,0,0,0,0
425504228736237568,10981,6118,0,0
645323345306583081,84,84,0,0
583401153132232733,18,18,0,0
1404540016222535690,0,0,0,0
1067643975428739092,0,0,0,0
382677098533486592,0,0,0,0
620239781573558272,0,0,0,0
326837723631452161,0,0,0,0
379136707397681162,540,540,0,0
290173052329787392,4612,2802,0,0
432264232483160064,0,0,0,0
622459421603397632,0,0,0,0
465627232568737792,0,0,0,0